family,severity,severity_index,single_qubit_error,two_qubit_error,readout_error,seed_simulator,simulation_seconds,shots,observed_indices,coverage_fraction,modal_correct_indices,modal_amplitude_accuracy,normalized_modal_mae,correct_basis_shot_fraction,amplitude_bit_error_rate,joint_distribution_tvd,time_distribution_tvd,exact_reconstruction,num_samples,amplitude_bits,time_bits,total_qubits,data_seed,seed_transpiler,optimization_level,transpiled_depth,transpiled_size,transpiled_cx_count
readout,low,1,0.0,0.0,0.005,72,0.04380510002374649,1024,8,1.0,8,1.0,0.0,0.9794921875,0.005859375,0.04296875,0.029296875,True,8,4,3,7,42,42,1,454,557,236
readout,low,1,0.0,0.0,0.005,82,0.04265690001193434,1024,8,1.0,8,1.0,0.0,0.9619140625,0.011474609375,0.0673828125,0.04296875,True,8,4,3,7,42,42,1,454,557,236
combined,low,1,0.0005,0.005,0.005,42,0.16885500005446374,1024,8,1.0,8,1.0,0.0,0.46484375,0.2314453125,0.53515625,0.0390625,True,8,4,3,7,42,42,1,454,557,236
combined,low,1,0.0005,0.005,0.005,52,0.16758740006480366,1024,8,1.0,8,1.0,0.0,0.4638671875,0.237548828125,0.5361328125,0.064453125,True,8,4,3,7,42,42,1,454,557,236
combined,low,1,0.0005,0.005,0.005,62,0.15904499997850507,1024,8,1.0,8,1.0,0.0,0.458984375,0.24609375,0.541015625,0.04296875,True,8,4,3,7,42,42,1,454,557,236
combined,low,1,0.0005,0.005,0.005,72,0.1532082000048831,1024,8,1.0,8,1.0,0.0,0.4619140625,0.241943359375,0.5380859375,0.029296875,True,8,4,3,7,42,42,1,454,557,236
combined,low,1,0.0005,0.005,0.005,82,0.1575271999463439,1024,8,1.0,8,1.0,0.0,0.4697265625,0.2353515625,0.5302734375,0.04296875,True,8,4,3,7,42,42,1,454,557,236
gate,moderate,2,0.001,0.01,0.0,42,0.17341689998283982,1024,8,1.0,8,1.0,0.0,0.25,0.359375,0.75,0.0419921875,True,8,4,3,7,42,42,1,454,557,236
gate,moderate,2,0.001,0.01,0.0,52,0.1581408999627456,1024,8,1.0,8,1.0,0.0,0.2490234375,0.356689453125,0.7509765625,0.0595703125,True,8,4,3,7,42,42,1,454,557,236
gate,moderate,2,0.001,0.01,0.0,62,0.14579019998200238,1024,8,1.0,8,1.0,0.0,0.2578125,0.35205078125,0.7421875,0.0439453125,True,8,4,3,7,42,42,1,454,557,236
gate,moderate,2,0.001,0.01,0.0,72,0.14100150007288903,1024,8,1.0,8,1.0,0.0,0.240234375,0.37255859375,0.759765625,0.0283203125,True,8,4,3,7,42,42,1,454,557,236
gate,moderate,2,0.001,0.01,0.0,82,0.15727710002101958,1024,8,1.0,8,1.0,0.0,0.259765625,0.3505859375,0.740234375,0.041015625,True,8,4,3,7,42,42,1,454,557,236
readout,moderate,2,0.0,0.0,0.01,42,0.03528839990030974,1024,8,1.0,8,1.0,0.0,0.9296875,0.021484375,0.0849609375,0.041015625,True,8,4,3,7,42,42,1,454,557,236
readout,moderate,2,0.0,0.0,0.01,52,0.03580309997778386,1024,8,1.0,8,1.0,0.0,0.9326171875,0.021240234375,0.083984375,0.0595703125,True,8,4,3,7,42,42,1,454,557,236
readout,moderate,2,0.0,0.0,0.01,62,0.03351229999680072,1024,8,1.0,8,1.0,0.0,0.9482421875,0.01611328125,0.0751953125,0.041015625,True,8,4,3,7,42,42,1,454,557,236
readout,moderate,2,0.0,0.0,0.01,72,0.03216359997168183,1024,8,1.0,8,1.0,0.0,0.955078125,0.01318359375,0.0634765625,0.0341796875,True,8,4,3,7,42,42,1,454,557,236
readout,moderate,2,0.0,0.0,0.01,82,0.034507300006225705,1024,8,1.0,8,1.0,0.0,0.9375,0.018798828125,0.0830078125,0.044921875,True,8,4,3,7,42,42,1,454,557,236
combined,moderate,2,0.001,0.01,0.01,42,0.16166610002983361,1024,8,1.0,8,1.0,0.0,0.2421875,0.365234375,0.7578125,0.041015625,True,8,4,3,7,42,42,1,454,557,236
combined,moderate,2,0.001,0.01,0.01,52,0.15262449998408556,1024,8,1.0,8,1.0,0.0,0.234375,0.3642578125,0.765625,0.0595703125,True,8,4,3,7,42,42,1,454,557,236
combined,moderate,2,0.001,0.01,0.01,62,0.1499016999732703,1024,8,1.0,8,1.0,0.0,0.248046875,0.358642578125,0.751953125,0.041015625,True,8,4,3,7,42,42,1,454,557,236
combined,moderate,2,0.001,0.01,0.01,72,0.14694799995049834,1024,8,1.0,8,1.0,0.0,0.236328125,0.37451171875,0.763671875,0.0341796875,True,8,4,3,7,42,42,1,454,557,236
combined,moderate,2,0.001,0.01,0.01,82,0.14546649996191263,1024,8,1.0,8,1.0,0.0,0.2509765625,0.356689453125,0.7490234375,0.044921875,True,8,4,3,7,42,42,1,454,557,236
gate,high,3,0.002,0.02,0.0,42,0.13787929993122816,1024,8,1.0,3,0.375,0.2833333333333333,0.1044921875,0.4609375,0.8955078125,0.0419921875,False,8,4,3,7,42,42,1,454,557,236
gate,high,3,0.002,0.02,0.0,52,0.14377059997059405,1024,8,1.0,4,0.5,0.24166666666666667,0.109375,0.447021484375,0.890625,0.0595703125,False,8,4,3,7,42,42,1,454,557,236
gate,high,3,0.002,0.02,0.0,62,0.13966179999988526,1024,8,1.0,2,0.25,0.31666666666666665,0.107421875,0.449462890625,0.892578125,0.0439453125,False,8,4,3,7,42,42,1,454,557,236
gate,high,3,0.002,0.02,0.0,72,0.14280479995068163,1024,8,1.0,2,0.25,0.38333333333333336,0.107421875,0.453369140625,0.892578125,0.0283203125,False,8,4,3,7,42,42,1,454,557,236
gate,high,3,0.002,0.02,0.0,82,0.1443640999495983,1024,8,1.0,1,0.125,0.4,0.1103515625,0.453857421875,0.8896484375,0.041015625,False,8,4,3,7,42,42,1,454,557,236
readout,high,3,0.0,0.0,0.02,42,0.02963510004337877,1024,8,1.0,8,1.0,0.0,0.8603515625,0.043212890625,0.1396484375,0.0400390625,True,8,4,3,7,42,42,1,454,557,236
readout,high,3,0.0,0.0,0.02,52,0.03079220000654459,1024,8,1.0,8,1.0,0.0,0.875,0.039306640625,0.1279296875,0.0537109375,True,8,4,3,7,42,42,1,454,557,236
readout,high,3,0.0,0.0,0.02,62,0.02987080009188503,1024,8,1.0,8,1.0,0.0,0.900390625,0.031982421875,0.111328125,0.0380859375,True,8,4,3,7,42,42,1,454,557,236
readout,high,3,0.0,0.0,0.02,72,0.029545399942435324,1024,8,1.0,8,1.0,0.0,0.9013671875,0.028564453125,0.1064453125,0.0400390625,True,8,4,3,7,42,42,1,454,557,236
readout,high,3,0.0,0.0,0.02,82,0.029262099997140467,1024,8,1.0,8,1.0,0.0,0.8916015625,0.032470703125,0.1171875,0.041015625,True,8,4,3,7,42,42,1,454,557,236
combined,high,3,0.002,0.02,0.02,42,0.14992009999696165,1024,8,1.0,2,0.25,0.30833333333333335,0.0947265625,0.463623046875,0.9052734375,0.0400390625,False,8,4,3,7,42,42,1,454,557,236
combined,high,3,0.002,0.02,0.02,52,0.15095829998608679,1024,8,1.0,3,0.375,0.3333333333333333,0.1015625,0.453369140625,0.8984375,0.0537109375,False,8,4,3,7,42,42,1,454,557,236
combined,high,3,0.002,0.02,0.02,62,0.1477254000492394,1024,8,1.0,3,0.375,0.21666666666666665,0.1083984375,0.44970703125,0.8916015625,0.0380859375,False,8,4,3,7,42,42,1,454,557,236
combined,high,3,0.002,0.02,0.02,72,0.1444290999788791,1024,8,1.0,2,0.25,0.38333333333333336,0.1044921875,0.45654296875,0.8955078125,0.0400390625,False,8,4,3,7,42,42,1,454,557,236
combined,high,3,0.002,0.02,0.02,82,0.1421699000056833,1024,8,1.0,1,0.125,0.35833333333333334,0.103515625,0.45458984375,0.896484375,0.041015625,False,8,4,3,7,42,42,1,454,557,236
gate,severe,4,0.005,0.05,0.0,42,0.136905400082469,1024,8,1.0,0,0.0,0.39999999999999997,0.060546875,0.50244140625,0.939453125,0.0419921875,False,8,4,3,7,42,42,1,454,557,236
gate,severe,4,0.005,0.05,0.0,52,0.1432799999602139,1024,8,1.0,1,0.125,0.5666666666666667,0.06640625,0.483642578125,0.93359375,0.0595703125,False,8,4,3,7,42,42,1,454,557,236
gate,severe,4,0.005,0.05,0.0,62,0.1413665000582114,1024,8,1.0,1,0.125,0.31666666666666665,0.0654296875,0.48291015625,0.9345703125,0.0439453125,False,8,4,3,7,42,42,1,454,557,236
gate,severe,4,0.005,0.05,0.0,72,0.14083899999968708,1024,8,1.0,0,0.0,0.5166666666666667,0.052734375,0.498291015625,0.947265625,0.0283203125,False,8,4,3,7,42,42,1,454,557,236
gate,severe,4,0.005,0.05,0.0,82,0.14113399991765618,1024,8,1.0,0,0.0,0.39166666666666666,0.060546875,0.49658203125,0.939453125,0.041015625,False,8,4,3,7,42,42,1,454,557,236
