condition,gate_error_enabled,readout_error_enabled,thermal_relaxation_enabled,seed_simulator,simulation_seconds,shots,observed_indices,coverage_fraction,modal_correct_indices,modal_amplitude_accuracy,normalized_modal_mae,correct_basis_shot_fraction,amplitude_bit_error_rate,joint_distribution_tvd,time_distribution_tvd,exact_reconstruction,backend_name,backend_class,backend_num_qubits,num_samples,amplitude_bits,time_bits,logical_qubits,data_seed,optimization_level,seed_transpiler,initial_layout,final_layout,transpiled_depth,transpiled_size,selected_readout_error_mean,selected_readout_error_max,selected_t1_seconds_mean,selected_t2_seconds_mean,two_qubit_gate_count,swap_count,calibrated_gate_count,missing_calibration_count,calibration_error_budget,independent_gate_success_proxy,calibrated_duration_seconds
gate_thermal,True,False,True,52,0.09886109991930425,2048,4,1.0,4,1.0,0.0,0.4345703125,0.2342529296875,0.5654296875,0.02099609375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
gate_thermal,True,False,True,62,0.09719800006132573,2048,4,1.0,4,1.0,0.0,0.4072265625,0.24853515625,0.5927734375,0.00927734375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
full_calibration,True,True,True,42,0.10804900003131479,2048,4,1.0,4,1.0,0.0,0.38916015625,0.2535400390625,0.61083984375,0.01806640625,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
full_calibration,True,True,True,52,0.10519220004789531,2048,4,1.0,4,1.0,0.0,0.38720703125,0.2576904296875,0.61279296875,0.01953125,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
full_calibration,True,True,True,62,0.10884739994071424,2048,4,1.0,4,1.0,0.0,0.3720703125,0.2662353515625,0.6279296875,0.01123046875,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,62,2-5-1-6-3-4,2-1-4-6-3-5,181,248,0.021349999999999997,0.025800000000000045,9.732658242807076e-05,9.565223598225018e-05,92,0,242,0,0.8653941804161193,0.42088561505791755,4.044799999999999e-05
ideal,False,False,False,42,0.022365499986335635,2048,4,1.0,4,1.0,0.0,1.0,0.0,0.01318359375,0.01318359375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
ideal,False,False,False,52,0.02221510000526905,2048,4,1.0,4,1.0,0.0,1.0,0.0,0.005859375,0.005859375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
ideal,False,False,False,62,0.02257390005979687,2048,4,1.0,4,1.0,0.0,1.0,0.0,0.0224609375,0.0224609375,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
readout_only,False,True,False,42,0.03398179996293038,2048,4,1.0,4,1.0,0.0,0.85205078125,0.049560546875,0.14794921875,0.0078125,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
readout_only,False,True,False,52,0.0328266000142321,2048,4,1.0,4,1.0,0.0,0.849609375,0.0487060546875,0.150390625,0.00244140625,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
readout_only,False,True,False,62,0.032913099974393845,2048,4,1.0,4,1.0,0.0,0.86181640625,0.0458984375,0.13818359375,0.02392578125,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
gate_thermal,True,False,True,42,0.10006950004026294,2048,4,1.0,4,1.0,0.0,0.46337890625,0.218017578125,0.53662109375,0.0205078125,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
gate_thermal,True,False,True,52,0.0981295999372378,2048,4,1.0,4,1.0,0.0,0.45458984375,0.2235107421875,0.54541015625,0.02001953125,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
gate_thermal,True,False,True,62,0.09627769992221147,2048,4,1.0,4,1.0,0.0,0.4501953125,0.2257080078125,0.5498046875,0.03515625,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
full_calibration,True,True,True,42,0.11127570003736764,2048,4,1.0,4,1.0,0.0,0.40576171875,0.243408203125,0.59423828125,0.02001953125,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
full_calibration,True,True,True,52,0.1088418000144884,2048,4,1.0,4,1.0,0.0,0.396484375,0.2501220703125,0.603515625,0.015625,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
full_calibration,True,True,True,62,0.10805349994916469,2048,4,1.0,4,1.0,0.0,0.3955078125,0.2509765625,0.6044921875,0.0341796875,True,fake_nairobi,FakeNairobiV2,7,4,4,2,6,42,2,72,4-3-2-0-5-1,1-3-2-0-4-5,190,246,0.026716666666666666,0.05800000000000005,9.940685236631248e-05,7.72489665936874e-05,94,0,240,0,0.8357893642050573,0.4335321315849941,3.9921777777777783e-05
