profile,num_samples,amplitude_bits,time_bits,total_qubits,state_space_dimension,seed,seed_transpiler,optimization_level,basis_gates,timing_repeats,sample_min,sample_max,sample_mean,sample_hamming_weight,sample_bit_density,build_seconds,transpile_seconds,transpile_seconds_min,transpile_seconds_max,raw_depth,raw_size,raw_operations,transpiled_depth,transpiled_size,transpiled_operations,transpiled_cx_count,transpiled_single_qubit_count,depth_overhead_ratio,size_overhead_ratio,study
sparse,8,3,3,6,64,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,4,2.125,8,0.3333333333333333,0.0008728998946025968,0.0068610000889748335,0.006451399996876717,0.007397399982437491,21,35,"{""h"": 3, ""mcx"": 8, ""x"": 24}",216,269,"{""cx"": 108, ""rz"": 137, ""sx"": 13, ""x"": 11}",108,161,10.285714285714286,7.685714285714286,amplitude_resolution
random,8,3,3,6,64,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,4,7,6.125,18,0.75,0.002055899938568473,0.008231400046497583,0.007411199971102178,0.008847999968566,31,45,"{""h"": 3, ""mcx"": 18, ""x"": 24}",477,559,"{""cx"": 248, ""rz"": 287, ""sx"": 13, ""x"": 11}",248,311,15.387096774193548,12.422222222222222,amplitude_resolution
random,8,3,3,6,64,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,7,5.25,16,0.6666666666666666,0.0013279999839141965,0.008968599955551326,0.008939700084738433,0.009511100011877716,29,43,"{""h"": 3, ""mcx"": 16, ""x"": 24}",391,466,"{""cx"": 204, ""rz"": 240, ""sx"": 13, ""x"": 9}",204,262,13.482758620689655,10.837209302325581,amplitude_resolution
random,8,3,3,6,64,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,5,2.625,10,0.4166666666666667,0.0009129999671131372,0.011749399942345917,0.007793599972501397,0.015294100041501224,23,37,"{""h"": 3, ""mcx"": 10, ""x"": 24}",252,308,"{""cx"": 130, ""rz"": 158, ""sx"": 11, ""x"": 9}",130,178,10.956521739130435,8.324324324324325,amplitude_resolution
random,8,3,3,6,64,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,2,7,4.5,15,0.625,0.002427200088277459,0.012379500083625317,0.010970600065775216,0.013557900092564523,28,42,"{""h"": 3, ""mcx"": 15, ""x"": 24}",399,472,"{""cx"": 206, ""rz"": 242, ""sx"": 13, ""x"": 11}",206,266,14.25,11.238095238095237,amplitude_resolution
random,8,3,3,6,64,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,7,3.625,14,0.5833333333333334,0.0016422000480815768,0.008646299946121871,0.008065299945883453,0.010233300039544702,27,41,"{""h"": 3, ""mcx"": 14, ""x"": 24}",366,439,"{""cx"": 188, ""rz"": 225, ""sx"": 15, ""x"": 11}",188,251,13.555555555555555,10.707317073170731,amplitude_resolution
dense,8,3,3,6,64,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,7,7,7.0,24,1.0,0.001799000077880919,0.00956550007686019,0.008785199956037104,0.012147099943831563,37,51,"{""h"": 3, ""mcx"": 24, ""x"": 24}",633,733,"{""cx"": 332, ""rz"": 377, ""sx"": 13, ""x"": 11}",332,401,17.10810810810811,14.372549019607844,amplitude_resolution
sparse,8,4,3,7,128,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,8,3.75,8,0.25,0.0008258000016212463,0.011180600035004318,0.006914099911227822,0.01174759992863983,21,35,"{""h"": 3, ""mcx"": 8, ""x"": 24}",213,275,"{""cx"": 106, ""rz"": 141, ""sx"": 17, ""x"": 11}",106,169,10.142857142857142,7.857142857142857,amplitude_resolution
random,8,4,3,7,128,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,5,15,10.375,20,0.625,0.002641799976117909,0.01519079995341599,0.012366299983114004,0.02508370007853955,33,47,"{""h"": 3, ""mcx"": 20, ""x"": 24}",453,550,"{""cx"": 236, ""rz"": 284, ""sx"": 19, ""x"": 11}",236,314,13.727272727272727,11.702127659574469,amplitude_resolution
random,8,4,3,7,128,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,14,7.125,17,0.53125,0.0014081000117585063,0.01042900001630187,0.01019940001424402,0.010966899921186268,30,44,"{""h"": 3, ""mcx"": 17, ""x"": 24}",371,463,"{""cx"": 190, ""rz"": 239, ""sx"": 23, ""x"": 11}",190,273,12.366666666666667,10.522727272727273,amplitude_resolution
